DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9,DL10,DL11,DL12,DL13,DL14
1e+20,2.1609e+10,1.84e+10,60.48,68.486,1.9607e+10,24.63,1.4873e+10,17.552,12.37,12.893,10.63,19.309,6.991
1e+20,1.8081e+10,1.5526e+10,49.412,55.451,1.6884e+10,20.892,1.3127e+10,14.871,10.607,11.217,9.4352,16.824,6.096
1e+20,1.2992e+10,1.1323e+10,34.286,37.876,1.2673e+10,15.366,1.027e+10,10.94,7.9528,8.5853,7.4558,12.907,4.7082
1e+20,1.601e+11,5.1957e+10,148.25,122.94,3.3691e+10,47.131,2.3713e+10,32.819,21.453,20.902,15.586,30.671,10.842
1e+20,1.587e+11,5.1329e+10,145.43,120.69,3.3331e+10,46.348,2.3502e+10,32.168,21.051,20.613,15.415,30.236,10.618
1e+20,1.5722e+11,5.0675e+10,142.5,118.35,3.2951e+10,45.535,2.328e+10,31.496,20.636,20.314,15.237,29.787,10.388
1e+20,1.5565e+11,4.9996e+10,139.47,115.91,3.255e+10,44.689,2.3047e+10,30.803,20.209,20.002,15.052,29.322,10.153
1e+20,1.54e+11,4.9288e+10,136.31,113.38,3.2126e+10,43.81,2.2801e+10,30.088,19.769,19.679,14.859,28.841,9.913
1e+20,1.5225e+11,4.8551e+10,133.04,110.74,3.1678e+10,42.896,2.2543e+10,29.35,19.315,19.342,14.659,28.342,9.6673
1e+20,1.504e+11,4.7783e+10,129.65,108,3.1205e+10,41.945,2.227e+10,28.588,18.847,18.992,14.451,27.825,9.4159
1e+20,1.4845e+11,4.6982e+10,126.13,105.15,3.0705e+10,40.958,2.1982e+10,27.803,18.364,18.628,14.233,27.289,9.1586
1e+20,1.4638e+11,4.6145e+10,122.48,102.19,3.0175e+10,39.93,2.1679e+10,26.992,17.866,18.248,14.005,26.731,8.895
1e+20,1.4419e+11,4.5269e+10,118.69,99.105,2.9615e+10,38.861,2.1357e+10,26.154,17.351,17.851,13.767,26.151,8.6249
1e+20,1.4186e+11,4.4352e+10,114.76,95.9,2.902e+10,37.747,2.1016e+10,25.289,16.819,17.437,13.517,25.546,8.3477
1e+20,1.3939e+11,4.339e+10,110.68,92.564,2.8389e+10,36.587,2.0654e+10,24.395,16.269,17.003,13.254,24.914,8.0632
